Table of contents,,,,,,,,,,,,,,,,,,,,,,,
"Table CLIENTLOC.1: Clients, by Statistical Area Level 4 (SA4)(locality/suburb in the week before), by client characteristics at first presentation, 2019–20",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Clients,,,Homeless,,,At Risk,,,Age group (%),,,,,,,,,,Sex (%),
State/territory,Region Code,Region Name,Number,"Rate per 10,000 ERP(b)",,Number,Per cent,,Number,Per cent,,0–9,10–14,15–17,18–24,25–34,35–44,45–54,55–64,65+,,Males,Females
NSW,101,Capital Region,"3,430",149.2,,"1,365",41.9,,"1,891",58.1,,18.9,7.9,7.4,16.0,14.8,15.1,11.2,5.7,3.0,,46.4,53.6
NSW,102,Central Coast,"2,342",68.1,,"1,296",56.5,,997,43.5,,22.5,8.1,8.3,17.9,13.4,14.3,10.0,3.8,1.7,,44.9,55.1
NSW,103,Central West,"3,702",173.5,,"1,638",45.4,,"1,973",54.6,,23.7,8.9,6.6,15.9,15.4,13.3,9.6,4.2,2.3,,42.0,58.0
NSW,104,Coffs Harbour - Grafton,"1,904",134.1,,903,48.9,,945,51.1,,18.9,7.3,8.7,19.1,16.5,13.3,10.1,4.7,1.3,,39.3,60.7
NSW,105,Far West and Orana,"2,798",239.2,,"1,155",42.8,,"1,544",57.2,,24.8,7.9,7.8,16.8,16.8,11.7,8.6,3.6,2.0,,39.1,60.9
NSW,106,Hunter Valley exc Newcastle,"2,370",84.5,,"1,086",49.9,,"1,091",50.1,,9.1,7.8,9.6,23.0,18.8,15.8,9.9,4.1,1.9,,33.9,66.1
NSW,107,Illawarra,"2,999",95.3,,"1,651",57.0,,"1,243",43.0,,13.2,5.3,9.0,23.9,15.5,15.7,10.4,5.4,1.6,,41.1,58.9
NSW,108,Mid North Coast,"4,157",186.7,,"1,904",47.3,,"2,122",52.7,,23.3,8.5,7.4,16.5,15.6,13.3,9.0,4.5,1.9,,40.6,59.4
NSW,109,Murray,"1,318",109.0,,664,51.6,,623,48.4,,6.1,3.3,6.8,18.1,22.5,19.6,14.5,5.8,3.4,,41.0,59.0
NSW,110,New England and North West,"3,419",182.8,,"1,288",40.1,,"1,927",59.9,,14.0,8.2,8.3,19.0,18.2,14.6,10.8,4.8,2.2,,41.1,58.9
NSW,111,Newcastle and Lake Macquarie,"3,247",85.7,,"1,742",56.2,,"1,355",43.8,,15.1,7.1,8.0,19.5,17.7,16.4,11.1,3.7,1.4,,34.7,65.3
NSW,112,Richmond - Tweed,"4,174",165.2,,"1,763",43.7,,"2,271",56.3,,22.3,9.7,8.2,13.1,12.5,14.0,11.4,5.7,3.3,,39.7,60.3
NSW,113,Riverina,"2,223",137.6,,691,32.3,,"1,449",67.7,,21.2,7.9,7.6,14.3,17.6,13.7,10.7,4.9,2.1,,41.9,58.1
NSW,114,Southern Highlands and Shoalhaven,"1,508",96.3,,763,53.5,,663,46.5,,15.7,7.8,6.4,15.5,16.2,17.6,13.5,4.7,2.5,,39.8,60.2
NSW,115,Sydney - Baulkham Hills and Hawkesbury,391,15.5,,135,37.5,,225,62.5,,20.5,11.8,19.7,16.6,7.9,11.3,6.1,3.6,2.6,,37.9,62.1
NSW,116,Sydney - Blacktown,"2,529",67.0,,"1,058",44.0,,"1,346",56.0,,21.2,8.2,11.7,21.4,14.2,11.8,7.2,3.0,1.5,,39.2,60.8
NSW,117,Sydney - City and Inner South,"3,467",94.1,,"1,744",52.5,,"1,577",47.5,,8.1,3.8,5.3,16.3,14.6,19.5,19.2,9.5,3.8,,52.0,48.0
NSW,118,Sydney - Eastern Suburbs,747,25.3,,317,45.0,,388,55.0,,8.6,6.7,9.2,19.7,14.9,15.1,16.7,5.4,3.7,,42.3,57.7
NSW,119,Sydney - Inner South West,"2,868",45.8,,725,27.0,,"1,957",73.0,,23.5,12.6,8.1,14.0,13.7,13.8,8.6,3.7,1.9,,36.6,63.4
NSW,120,Sydney - Inner West,"1,316",40.6,,507,41.0,,730,59.0,,15.3,7.0,10.3,22.5,11.7,15.0,11.2,4.7,2.4,,39.7,60.3
NSW,121,Sydney - North Sydney and Hornsby,796,18.0,,308,41.6,,433,58.4,,10.1,5.8,19.7,17.6,10.7,13.3,11.8,6.7,4.4,,39.2,60.8
NSW,122,Sydney - Northern Beaches,760,27.8,,217,31.2,,479,68.8,,7.9,6.7,13.8,16.8,11.8,18.3,16.4,4.9,3.3,,29.9,70.1
NSW,123,Sydney - Outer South West,"2,504",86.6,,684,29.4,,"1,641",70.6,,19.9,11.8,9.9,15.9,15.9,14.6,7.5,3.2,1.3,,36.3,63.7
NSW,124,Sydney - Outer West and Blue Mountains,"2,770",84.6,,"1,134",42.5,,"1,533",57.5,,20.1,6.6,9.0,21.6,16.4,13.0,9.1,2.8,1.4,,37.7,62.3
NSW,125,Sydney - Parramatta,"2,177",43.3,,933,44.9,,"1,147",55.1,,18.1,6.4,7.3,15.8,17.0,17.5,10.2,5.1,2.5,,42.9,57.1
NSW,126,Sydney - Ryde,292,14.3,,91,32.4,,190,67.6,,11.0,3.4,16.1,19.2,11.0,17.8,12.3,6.8,2.4,,29.5,70.5
NSW,127,Sydney - South West,"2,363",52.0,,750,34.4,,"1,431",65.6,,24.9,10.6,10.1,12.7,15.2,12.8,7.4,4.1,2.2,,36.6,63.4
NSW,128,Sydney - Sutherland,712,30.9,,256,41.5,,361,58.5,,8.0,13.8,16.2,17.6,9.6,11.1,12.8,7.0,4.1,,37.4,62.6
Vic,201,Ballarat,"3,373",201.3,,"1,446",44.6,,"1,797",55.4,,10.1,4.4,4.4,16.9,19.9,19.3,13.4,6.8,4.8,,44.5,55.5
Vic,202,Bendigo,"3,441",211.2,,"1,084",32.3,,"2,273",67.7,,6.7,2.3,3.1,15.1,23.7,23.5,14.8,6.9,3.9,,40.0,60.0
Vic,203,Geelong,"5,039",162.5,,"1,864",39.1,,"2,899",60.9,,16.9,7.1,5.8,14.9,19.2,16.8,10.8,5.1,3.3,,48.0,52.0
Vic,204,Hume,"3,824",214.0,,"1,317",36.1,,"2,335",63.9,,9.2,3.6,5.5,15.5,22.5,21.0,12.8,6.0,3.7,,37.1,62.9
Vic,205,Latrobe - Gippsland,"7,748",270.0,,"2,850",38.9,,"4,474",61.1,,17.4,6.0,4.2,13.1,21.1,17.1,12.3,5.4,3.4,,43.5,56.5
Vic,206,Melbourne - Inner,"9,098",129.7,,"4,284",51.3,,"4,070",48.7,,7.5,2.0,2.2,12.2,21.7,22.8,18.6,8.2,4.8,,51.3,48.7
Vic,207,Melbourne - Inner East,"3,117",78.5,,760,25.7,,"2,201",74.3,,17.8,7.3,4.8,9.4,13.8,18.4,14.5,8.1,5.9,,41.0,59.0
Vic,208,Melbourne - Inner South,"2,402",53.9,,873,38.2,,"1,411",61.8,,16.9,5.6,4.5,10.9,15.5,19.1,15.8,6.8,4.9,,41.3,58.7
Vic,209,Melbourne - North East,"5,541",99.5,,"2,099",39.5,,"3,210",60.5,,14.7,6.8,4.3,11.2,19.4,19.5,12.9,6.7,4.4,,41.5,58.5
Vic,210,Melbourne - North West,"4,436",105.8,,"1,341",31.9,,"2,862",68.1,,17.0,5.9,3.1,10.7,19.1,17.6,12.6,7.5,6.4,,38.5,61.5
Vic,211,Melbourne - Outer East,"8,396",157.1,,"2,276",28.3,,"5,768",71.7,,20.2,9.1,5.5,10.3,15.8,16.5,12.7,6.0,4.0,,39.7,60.3
Vic,212,Melbourne - South East,"10,361",119.6,,"3,209",31.9,,"6,855",68.1,,17.1,6.3,3.9,11.6,19.8,19.6,12.7,5.6,3.4,,38.9,61.1
Vic,213,Melbourne - West,"16,038",189.5,,"4,626",32.6,,"9,550",67.4,,16.6,5.6,3.4,12.5,21.9,19.2,11.8,5.5,3.6,,38.2,61.8
Vic,214,Mornington Peninsula,"5,094",164.2,,"1,679",34.3,,"3,209",65.7,,18.1,7.0,4.5,10.7,16.8,18.6,14.0,6.2,4.1,,41.9,58.1
Vic,215,North West,"4,614",303.3,,"1,315",31.1,,"2,907",68.9,,12.3,6.3,4.3,14.8,22.0,17.2,12.8,6.9,3.5,,41.2,58.8
Vic,216,Shepparton,"3,586",267.3,,"1,353",38.9,,"2,123",61.1,,5.6,2.8,5.6,16.4,23.0,20.3,15.8,5.9,4.5,,38.3,61.7
Vic,217,Warrnambool and South West,"3,203",255.5,,"1,090",34.8,,"2,044",65.2,,16.3,6.5,6.2,17.1,17.3,17.6,11.1,5.2,2.6,,39.8,60.2
Qld,301,Brisbane - East,"1,030",42.8,,640,64.2,,357,35.8,,25.1,11.8,12.3,15.0,11.5,12.9,8.0,2.6,0.8,,35.8,64.2
Qld,302,Brisbane - North,"1,074",47.5,,549,52.0,,506,48.0,,22.3,6.6,7.4,16.6,16.3,13.8,10.6,4.7,1.8,,34.2,65.8
Qld,303,Brisbane - South,"1,672",44.5,,"1,031",62.4,,620,37.6,,24.8,7.5,5.0,13.5,18.3,16.8,8.3,4.2,1.6,,28.9,71.1
Qld,304,Brisbane - West,306,15.8,,146,49.0,,152,51.0,,23.5,3.3,6.9,18.0,15.0,17.0,11.1,3.3,2.0,,22.5,77.5
Qld,305,Brisbane Inner City,"2,067",71.0,,"1,396",68.2,,650,31.8,,13.9,3.0,2.8,10.6,19.4,23.3,17.7,7.1,2.2,,47.5,52.5
Qld,306,Cairns,"4,834",190.4,,"2,505",52.4,,"2,272",47.6,,17.2,5.3,4.1,12.8,21.0,18.3,12.7,6.3,2.2,,41.1,58.9
Qld,307,Darling Downs - Maranoa,422,32.8,,285,67.5,,137,32.5,,16.4,7.3,2.1,15.9,22.3,16.4,10.9,6.2,2.6,,45.3,54.7
Qld,308,Central Queensland,"1,918",84.6,,"1,017",53.5,,883,46.5,,20.4,6.4,6.2,16.9,18.4,15.4,10.6,3.8,1.9,,43.5,56.5
Qld,309,Gold Coast,"3,518",55.3,,"1,524",44.1,,"1,932",55.9,,20.8,9.4,7.2,13.7,13.2,15.8,11.4,5.4,3.2,,44.7,55.3
Qld,310,Ipswich,"3,596",99.2,,"1,872",52.7,,"1,682",47.3,,30.4,11.5,8.1,15.6,13.9,11.8,5.8,2.1,0.9,,37.5,62.5
Qld,311,Logan - Beaudesert,"2,236",64.0,,"1,304",58.8,,913,41.2,,30.5,10.0,7.4,15.3,14.9,13.2,5.9,2.0,0.8,,32.9,67.1
Qld,312,Mackay - Isaac - Whitsunday,"2,989",172.8,,"1,254",42.5,,"1,699",57.5,,28.2,11.1,5.9,11.2,15.5,12.9,8.2,5.0,2.0,,44.8,55.2
Qld,313,Moreton Bay - North,"1,037",40.5,,689,67.3,,335,32.7,,26.2,9.1,6.3,12.5,14.4,16.2,10.7,3.2,1.4,,36.5,63.5
Qld,314,Moreton Bay - South,495,22.6,,284,58.8,,199,41.2,,24.2,6.3,7.3,14.9,17.2,16.2,9.5,3.8,0.6,,26.5,73.5
Qld,315,Queensland - Outback,"1,832",222.0,,543,30.0,,"1,267",70.0,,19.7,6.6,3.3,13.7,21.6,15.6,11.7,5.3,2.5,,30.4,69.6
Qld,316,Sunshine Coast,992,25.8,,548,56.4,,424,43.6,,27.9,8.6,8.4,15.8,11.8,15.0,8.0,3.0,1.5,,37.2,62.8
Qld,317,Toowoomba,"1,062",67.0,,650,61.4,,408,38.6,,18.2,6.1,6.3,14.8,19.0,18.1,10.8,4.6,2.1,,42.3,57.7
Qld,318,Townsville,"5,310",224.0,,"2,750",52.2,,"2,517",47.8,,21.4,7.2,5.3,12.3,18.9,16.6,11.9,4.5,1.9,,42.0,58.0
Qld,319,Wide Bay,"2,846",95.0,,"1,503",53.5,,"1,306",46.5,,22.9,7.7,6.0,14.2,16.8,14.9,11.0,4.4,2.2,,43.8,56.2
SA,401,Adelaide - Central and Hills,"2,380",77.8,,"1,460",64.8,,792,35.2,,10.1,3.9,4.9,15.5,17.9,21.5,16.7,7.2,2.3,,49.7,50.3
SA,402,Adelaide - North,"5,115",115.4,,"2,073",45.5,,"2,485",54.5,,19.6,7.8,6.9,16.6,20.6,16.3,8.5,2.7,0.9,,37.8,62.2
SA,403,Adelaide - South,"2,832",76.3,,"1,142",44.6,,"1,420",55.4,,18.6,7.3,8.3,18.4,16.3,16.5,9.1,3.6,1.8,,39.7,60.3
SA,404,Adelaide - West,"2,517",104.9,,"1,013",44.1,,"1,285",55.9,,17.2,6.5,6.4,15.9,17.9,17.1,11.1,4.8,3.1,,42.6,57.4
SA,405,Barossa - Yorke - Mid North,903,78.9,,325,39.4,,499,60.6,,14.2,6.0,6.1,17.3,22.4,16.9,12.0,3.4,1.8,,36.4,63.6
SA,406,South Australia - Outback,"2,200",260.6,,968,48.9,,"1,012",51.1,,14.0,4.3,4.6,18.4,23.7,19.0,10.4,4.2,1.4,,37.5,62.5
SA,407,South Australia - South East,"2,338",121.0,,776,37.1,,"1,313",62.9,,13.3,5.6,5.6,15.8,21.7,17.9,12.0,5.9,2.1,,42.2,57.8
WA,501,Bunbury,"1,598",86.8,,640,41.1,,918,58.9,,15.1,7.1,7.3,10.7,17.9,22.0,12.3,6.0,1.5,,28.7,71.3
WA,502,Mandurah,"1,266",122.4,,303,26.9,,822,73.1,,20.1,17.6,12.2,14.1,13.4,10.6,7.0,3.9,0.9,,40.3,59.7
WA,503,Perth - Inner,"1,527",83.5,,"1,105",74.1,,387,25.9,,8.3,1.8,2.1,9.6,20.2,26.7,19.4,7.6,4.1,,57.0,43.0
WA,504,Perth - North East,"1,244",46.1,,603,49.0,,627,51.0,,19.0,5.5,6.4,15.9,19.5,18.7,9.5,4.2,1.4,,36.2,63.8
WA,505,Perth - North West,"1,772",31.0,,726,41.9,,"1,007",58.1,,20.0,5.8,5.2,14.2,19.6,19.5,10.8,3.3,1.5,,30.0,70.0
WA,506,Perth - South East,"2,607",50.0,,"1,248",49.3,,"1,282",50.7,,24.2,7.2,6.8,12.2,20.1,17.2,8.2,2.8,1.3,,35.0,65.0
WA,507,Perth - South West,"3,083",70.6,,"1,222",40.2,,"1,818",59.8,,12.7,5.6,4.8,8.8,18.1,20.2,17.4,8.6,3.8,,45.0,55.0
WA,509,Western Australia - Wheat Belt,"1,308",95.5,,435,33.7,,854,66.3,,20.8,9.5,6.6,10.4,17.0,17.9,10.9,4.4,2.7,,30.4,69.6
WA,510,Western Australia - Outback (North),"5,712",583.1,,"1,498",26.5,,"4,164",73.5,,23.7,7.7,4.2,12.4,18.3,14.2,11.3,5.9,2.5,,37.7,62.3
WA,511,Western Australia - Outback (South),"2,184",187.2,,952,45.1,,"1,160",54.9,,17.9,4.3,4.3,13.8,21.3,18.1,12.5,5.0,2.9,,32.2,67.8
Tas,601,Hobart,"2,886",122.2,,"1,557",54.8,,"1,286",45.2,,10.4,3.9,5.2,18.2,21.4,18.2,13.1,5.9,3.7,,44.9,55.1
Tas,602,Launceston and North East,"1,704",116.5,,945,56.0,,744,44.0,,5.8,2.5,7.3,21.5,20.0,18.0,14.1,6.9,3.9,,43.1,56.9
Tas,603,South East,325,82.7,,188,58.2,,135,41.8,,9.5,4.9,12.3,16.0,15.7,17.8,12.9,5.2,5.5,,41.8,58.2
Tas,604,West and North West,"1,371",121.6,,798,59.1,,552,40.9,,12.1,4.4,7.0,20.3,19.3,16.3,12.9,4.4,3.3,,42.5,57.5
NT,701,Darwin,"2,624",178.2,,879,34.3,,"1,685",65.7,,19.2,7.2,6.0,15.4,18.0,16.6,9.9,5.4,2.2,,38.2,61.8
NT,702,Northern Territory - Outback,"5,683",575.9,,"1,517",29.6,,"3,605",70.4,,20.0,12.0,8.0,11.1,16.5,14.7,10.4,5.5,1.9,,34.0,66.0
ACT,801,Australian Capital Territory,"3,081",72.2,,"1,480",48.9,,"1,549",51.1,,18.2,5.2,6.9,14.5,19.4,17.5,10.8,4.9,2.6,,42.3,57.7
Unknown,-1,Unknown(c),"30,372",,,,,,,,,,,,,,,,,,,,
All clients,,All clients,"290,462",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"(a)  'Homeless' status is derived for a client based on the client's housing circumstances at the beginning of their first support period within the reference year. All other clients not meeting these criteria are considered to be at risk of homelessness (excluding clients who did not provide sufficient information to make this assessment). Housing circumstances are determined based on the client's type of residence, tenure and conditions of occupancy.",,,,,,,,,,,,,,,,,,,,,,,
"(b)  Rates are crude rates based on the Australian estimated resident population at 30 June of the reference year, as detailed in the online technical information.",,,,,,,,,,,,,,,,,,,,,,,
(c) Includes clients from 'Other territories' and those that have not provided location information.,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
1.    Data presented have not been adjusted for partial or non-response (unweighted).,,,,,,,,,,,,,,,,,,,,,,,
"2.    Clients are assigned to a region based on where they lived in the week before presenting to a SHS agency. Clients are assigned to only one region, based on the location details provided in the first support period in the reference year. Regions are defined by the 2016 Australian Statistical Geography Standard (ASGS).",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
